#mH (GeV)     Cross Section (pb)  +QCD scale %    -QCD scale %    +(PDF+αs) %     -(PDF+αs) %     W+H (pb)    W-H (pb)
80.0     2.808   +1.1    -1.1    +2.2    -2.2    1.736   1.0720
81.0     2.711   +1.1    -1.1    +2.2    -2.2    1.677   1.0350
82.0     2.619   +1.0    -1.0    +2.2    -2.2    1.619   0.9985
83.0     2.528   +1.0    -1.0    +2.2    -2.2    1.566   0.9626
84.0     2.442   +1.0    -1.0    +2.2    -2.2    1.512   0.9289
85.0     2.359   +1.0    -1.0    +2.1    -2.1    1.463   0.8972
86.0     2.279   +1.0    -1.0    +2.2    -2.2    1.413   0.8658
87.0     2.203   +1.0    -1.0    +2.2    -2.2    1.366   0.8367
88.0     2.129   +1.0    -1.0    +2.2    -2.2    1.322   0.8084
89.0     2.058   +1.0    -1.0    +2.2    -2.2    1.279   0.7802
90.0     1.990   +1.0    -1.0    +2.2    -2.2    1.237   0.7541
91.0     1.929   +1.0    -1.0    +2.2    -2.2    1.197   0.7292
92.0     1.866   +1.0    -1.0    +2.2    -2.2    1.160   0.7049
93.0     1.806   +1.0    -1.0    +2.2    -2.2    1.123   0.6822
94.0     1.749   +1.0    -1.0    +2.2    -2.2    1.088   0.6598
95.0     1.695   +1.0    -1.0    +2.2    -2.2    1.054   0.6380
96.0     1.641   +1.0    -1.0    +2.2    -2.2    1.022   0.6179
97.0     1.589   +1.0    -1.0    +2.3    -2.3    0.9902  0.5981
98.0     1.540   +1.0    -1.0    +2.3    -2.3    0.9602  0.5794
99.0     1.495   +1.0    -1.0    +2.3    -2.3    0.9312  0.5609
100.0    1.447   +1.0    -1.0    +2.3    -2.3    0.9028  0.5434
101.0    1.403   +1.0    -1.0    +2.3    -2.3    0.8765  0.5261
102.0    1.360   +1.0    -1.0    +2.3    -2.3    0.8495  0.5097
103.0    1.319   +1.0    -1.0    +2.3    -2.3    0.8245  0.4939
104.0    1.280   +1.0    -1.0    +2.3    -2.3    0.8006  0.4791
105.0    1.242   +1.0    -1.0    +2.3    -2.3    0.7777  0.4643
106.0    1.204   +1.0    -1.0    +2.3    -2.3    0.7542  0.4503
107.0    1.169   +1.0    -1.0    +2.3    -2.3    0.7324  0.4374
108.0    1.135   +1.0    -1.0    +2.3    -2.3    0.7117  0.4240
109.0    1.103   +1.0    -1.0    +2.4    -2.4    0.6913  0.4116
110.0    1.071   +1.0    -1.0    +2.4    -2.4    0.6720  0.3995
110.5    1.056   +1.0    -1.0    +2.3    -2.3    0.6621  0.3935
111.0    1.040   +1.0    -1.0    +2.3    -2.3    0.6529  0.3877
111.5    1.026   +1.0    -1.0    +2.3    -2.3    0.6434  0.3816
112.0    1.010   +1.0    -1.0    +2.3    -2.3    0.6343  0.3761
112.5    0.9959  +1.0    -1.0    +2.3    -2.3    0.6256  0.3705
113.0    0.9813  +1.0    -1.0    +2.3    -2.3    0.6166  0.3649
113.5    0.9676  +1.0    -1.0    +2.3    -2.3    0.6080  0.3598
114.0    0.9535  +1.0    -1.0    +2.3    -2.3    0.5993  0.3540
114.5    0.9395  +1.0    -1.0    +2.3    -2.3    0.5903  0.3489
115.0    0.9266  +1.0    -1.0    +2.3    -2.3    0.5824  0.3439
115.5    0.9135  +1.0    -1.0    +2.3    -2.3    0.5743  0.3386
116.0    0.9002  +1.0    -1.0    +2.3    -2.3    0.5662  0.3338
116.5    0.8880  +1.0    -1.0    +2.3    -2.3    0.5585  0.3292
117.0    0.8758  +1.0    -1.0    +2.3    -2.3    0.5511  0.3246
117.5    0.8642  +1.0    -1.0    +2.3    -2.3    0.5436  0.3199
118.0    0.8515  +1.0    -1.0    +2.3    -2.3    0.5362  0.3154
118.5    0.8403  +1.0    -1.0    +2.4    -2.4    0.5288  0.3110
119.0    0.8284  +1.0    -1.0    +2.4    -2.4    0.5219  0.3064
119.5    0.8170  +1.0    -1.0    +2.4    -2.4    0.5145  0.3021
120.0    0.8052  +1.0    -1.0    +2.5    -2.5    0.5079  0.2980
120.1    0.8034  +1.0    -1.0    +2.4    -2.4    0.5064  0.2971
120.2    0.8009  +1.0    -1.0    +2.4    -2.4    0.5051  0.2962
120.3    0.7992  +1.0    -1.0    +2.4    -2.4    0.5037  0.2955
120.4    0.7967  +1.0    -1.0    +2.4    -2.4    0.5022  0.2946
120.5    0.7946  +0.9    -0.9    +2.3    -2.3    0.5010  0.2938
120.6    0.7928  +1.0    -1.0    +2.3    -2.3    0.4997  0.2929
120.7    0.7902  +1.0    -1.0    +2.3    -2.3    0.4983  0.2921
120.8    0.7881  +1.0    -1.0    +2.3    -2.3    0.4969  0.2913
120.9    0.7863  +1.0    -1.0    +2.3    -2.3    0.4956  0.2905
121.0    0.7844  +1.0    -1.0    +2.3    -2.3    0.4943  0.2897
121.1    0.7825  +1.0    -1.0    +2.3    -2.3    0.4929  0.2890
