#mH[GeV] llll(e,mu,tau) llll(e,mu)        eeee           eemumu       llnunu(e,mu,tau)  llnunu(e,mu)     enueenue     enuemunumu        ERROR
90.0	 4.89E-06	 2.33E-06	 7.01E-07	 9.30E-07	 2.10E-04	 9.12E-05	 1.75E-05	 2.43E-05	 5.8
95.0	 7.73E-06	 3.67E-06	 1.10E-06	 1.48E-06	 4.80E-04	 2.10E-04	 4.42E-05	 5.49E-05	 5.8
100.0	 1.28E-05	 6.06E-06	 1.78E-06	 2.49E-06	 1.14E-03	 5.03E-04	 1.13E-04	 1.29E-04	 5.7
105.0	 2.37E-05	 1.11E-05	 3.18E-06	 4.74E-06	 2.53E-03	 1.12E-03	 2.59E-04	 2.83E-04	 5.6
110.0	 4.72E-05	 2.18E-05	 6.04E-06	 9.69E-06	 5.08E-03	 2.26E-03	 5.32E-04	 5.61E-04	 5.4
110.5	 5.06E-05	 2.33E-05	 6.45E-06	 1.04E-05	 5.41E-03	 2.41E-03	 5.68E-04	 5.97E-04	 5.4
111.0	 5.42E-05	 2.49E-05	 6.88E-06	 1.12E-05	 5.76E-03	 2.57E-03	 6.06E-04	 6.35E-04	 5.4
111.5	 5.80E-05	 2.67E-05	 7.34E-06	 1.20E-05	 6.13E-03	 2.74E-03	 6.45E-04	 6.75E-04	 5.4
112.0	 6.21E-05	 2.85E-05	 7.82E-06	 1.29E-05	 6.52E-03	 2.91E-03	 6.87E-04	 7.17E-04	 5.3
112.5	 6.64E-05	 3.05E-05	 8.34E-06	 1.38E-05	 6.92E-03	 3.09E-03	 7.31E-04	 7.61E-04	 5.3
113.0	 7.10E-05	 3.26E-05	 8.88E-06	 1.48E-05	 7.35E-03	 3.28E-03	 7.76E-04	 8.07E-04	 5.3
113.5	 7.59E-05	 3.47E-05	 9.46E-06	 1.58E-05	 7.79E-03	 3.48E-03	 8.23E-04	 8.54E-04	 5.2
114.0	 8.10E-05	 3.71E-05	 1.01E-05	 1.69E-05	 8.25E-03	 3.69E-03	 8.73E-04	 9.04E-04	 5.2
114.5	 8.64E-05	 3.95E-05	 1.07E-05	 1.81E-05	 8.73E-03	 3.91E-03	 9.25E-04	 9.56E-04	 5.2
115.0	 9.22E-05	 4.21E-05	 1.14E-05	 1.93E-05	 9.23E-03	 4.13E-03	 9.79E-04	 1.01E-03	 5.2
115.5	 9.82E-05	 4.48E-05	 1.21E-05	 2.06E-05	 9.74E-03	 4.36E-03	 1.03E-03	 1.06E-03	 5.1
116.0	 1.05E-04	 4.77E-05	 1.28E-05	 2.20E-05	 1.03E-02	 4.61E-03	 1.09E-03	 1.12E-03	 5.1
116.5	 1.11E-04	 5.07E-05	 1.36E-05	 2.35E-05	 1.08E-02	 4.86E-03	 1.15E-03	 1.18E-03	 5.0
117.0	 1.18E-04	 5.38E-05	 1.44E-05	 2.50E-05	 1.14E-02	 5.12E-03	 1.22E-03	 1.24E-03	 5.0
117.5	 1.26E-04	 5.71E-05	 1.53E-05	 2.65E-05	 1.20E-02	 5.39E-03	 1.28E-03	 1.31E-03	 5.0
118.0	 1.33E-04	 6.06E-05	 1.62E-05	 2.82E-05	 1.26E-02	 5.67E-03	 1.35E-03	 1.38E-03	 4.9
118.5	 1.41E-04	 6.42E-05	 1.71E-05	 2.99E-05	 1.33E-02	 5.96E-03	 1.42E-03	 1.44E-03	 4.9
