#mH[GeV] llqq(e,mu,tau) llqq(e,mu)     lnuqq(e,mu)        nunuqq           qqqq           ffff          ERROR
90.0	 5.87E-05	 3.91E-05	 3.03E-04	 1.18E-04	 1.05E-03	 2.37E-03	 5.8
95.0	 9.31E-05	 6.21E-05	 6.85E-04	 1.87E-04	 2.32E-03	 5.17E-03	 5.8
100.0	 1.57E-04	 1.04E-04	 1.61E-03	 3.14E-04	 5.34E-03	 1.18E-02	 5.7
105.0	 2.97E-04	 1.98E-04	 3.52E-03	 5.95E-04	 1.17E-02	 2.58E-02	 5.6
110.0	 6.06E-04	 4.04E-04	 6.99E-03	 1.21E-03	 2.34E-02	 5.15E-02	 5.4
110.5	 6.50E-04	 4.34E-04	 7.44E-03	 1.30E-03	 2.50E-02	 5.49E-02	 5.4
111.0	 6.98E-04	 4.66E-04	 7.92E-03	 1.40E-03	 2.66E-02	 5.85E-02	 5.4
111.5	 7.50E-04	 5.00E-04	 8.42E-03	 1.50E-03	 2.83E-02	 6.23E-02	 5.4
112.0	 8.04E-04	 5.36E-04	 8.94E-03	 1.61E-03	 3.01E-02	 6.62E-02	 5.3
112.5	 8.62E-04	 5.75E-04	 9.48E-03	 1.72E-03	 3.20E-02	 7.03E-02	 5.3
113.0	 9.23E-04	 6.16E-04	 1.01E-02	 1.85E-03	 3.40E-02	 7.46E-02	 5.3
113.5	 9.89E-04	 6.59E-04	 1.06E-02	 1.98E-03	 3.60E-02	 7.91E-02	 5.2
114.0	 1.06E-03	 7.05E-04	 1.13E-02	 2.11E-03	 3.81E-02	 8.38E-02	 5.2
114.5	 1.13E-03	 7.54E-04	 1.19E-02	 2.26E-03	 4.04E-02	 8.87E-02	 5.2
115.0	 1.21E-03	 8.05E-04	 1.26E-02	 2.41E-03	 4.27E-02	 9.38E-02	 5.2
115.5	 1.29E-03	 8.59E-04	 1.33E-02	 2.58E-03	 4.51E-02	 9.90E-02	 5.1
116.0	 1.37E-03	 9.16E-04	 1.40E-02	 2.75E-03	 4.76E-02	 1.05E-01	 5.1
116.5	 1.46E-03	 9.76E-04	 1.47E-02	 2.93E-03	 5.03E-02	 1.10E-01	 5.0
117.0	 1.56E-03	 1.04E-03	 1.55E-02	 3.11E-03	 5.30E-02	 1.16E-01	 5.0
117.5	 1.66E-03	 1.10E-03	 1.63E-02	 3.31E-03	 5.58E-02	 1.22E-01	 5.0
118.0	 1.76E-03	 1.17E-03	 1.71E-02	 3.52E-03	 5.87E-02	 1.29E-01	 4.9
118.5	 1.87E-03	 1.25E-03	 1.80E-02	 3.73E-03	 6.17E-02	 1.35E-01	 4.9
119.0	 1.98E-03	 1.32E-03	 1.89E-02	 3.96E-03	 6.48E-02	 1.42E-01	 4.8
119.5	 2.10E-03	 1.40E-03	 1.98E-02	 4.19E-03	 6.80E-02	 1.49E-01	 4.8
120.0	 2.22E-03	 1.48E-03	 2.07E-02	 4.44E-03	 7.13E-02	 1.56E-01	 4.8
120.5	 2.35E-03	 1.57E-03	 2.16E-02	 4.69E-03	 7.47E-02	 1.64E-01	 4.7
121.0	 2.48E-03	 1.65E-03	 2.26E-02	 4.95E-03	 7.82E-02	 1.71E-01	 4.7
121.5	 2.62E-03	 1.74E-03	 2.36E-02	 5.22E-03	 8.18E-02	 1.79E-01	 4.6
122.0	 2.76E-03	 1.84E-03	 2.47E-02	 5.50E-03	 8.55E-02	 1.87E-01	 4.6
122.5	 2.90E-03	 1.94E-03	 2.57E-02	 5.80E-03	 8.92E-02	 1.95E-01	 4.5
123.0	 3.06E-03	 2.04E-03	 2.68E-02	 6.10E-03	 9.31E-02	 2.04E-01	 4.5
123.5	 3.21E-03	 2.14E-03	 2.79E-02	 6.40E-03	 9.71E-02	 2.13E-01	 4.4
